- Lives in Atlanta, Georgia (Buckhead area)
- Former NFL player (Steelers)
- Former NFL agent
- Heavy NFL fantasy football player (manages multiple leagues)
- Strong Patriots fan (historically)
- Strong Saints fan (current)
- Strong Bills fan (current)
- Strong Jets fan (current)
- Strong Bears fan (current)
- Strong Packers fan (current)
- Strong 49ers fan (current)
- Strong Seahawks fan (current)
- Strong Cowboys fan (current)
- Strong Eagles fan (current)
- Strong Cardinals fan (current)
- Strong Lions fan (current)
- Strong Vikings fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Chiefs fan (current)
- Strong Bengals fan (current)
- Strong Titans fan (current)
- Strong Jaguars fan (current)
- Strong Colts fan (current)
- Strong Texans fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan (current)
- Strong Chargers fan (current)
- Strong Raiders fan (current)
- Strong Broncos fan
