Lives in Egypt, specifically Cairo (Zamalek/Ahly soccer context),
Works in or studies at a university (mentions college, "college now"),
Strongly supports Karl Malone over Tim Duncan and Kobe Bryant over LeBron James,
Believes LeBron James is inefficient and overrated,
Frequently gets downvoted for negative opinions on LeBron James and Kobe Bryant,
Supports D'Angelo Russell over Okafor and Kawhi Leonard,
Follows NBA draft analysis and mock drafts,
Has a history of being a LeBron James fanboy in the past,
Supports the Minnesota Timberwolves (Cavs fans but not Cleveland),
Follows soccer (Zamalek vs Ahly),
Supports Messi over Ronaldo,
Follows CS 1.5 and FIFA 98,
Supports Bill Russell as an overrated player,
Supports Kevin Garnett,
Supports the Lakers and Clippers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
Supports the Clippers,
Supports the Lakers,
Supports the Warriors,
Supports the Bulls,
Supports the Celtics,
Supports the Raptors,
Supports the Pacers,
Supports the Rockets,
Supports the Spurs,
Supports the Suns,
