Lives in Flint, MI, also mentions Los Angeles and San Diego, and Texas
Works in an office building with a fire alarm
Height is 6'5"
Has a wife and a son
Grandfather served in WWI
Owns a dog
Fixes things and does home repair
Religious conservative, supports Republicans, hates Fox News and the Republican Party's direction, believes in eugenics and anti-abortion views
Believes in euthanasia
Has a gun permit
Likes whiskey
Likes reading and collecting old photographs
Likes baseball, specifically the Houston Astros and Major League
Likes the Shawshank Redemption and The Godfather
Likes the movie Pretty Woman
Likes the movie Die Hard
Likes the movie The Sting
Likes the movie Gone in 60 Seconds
Likes the movie The Bourne Ultimatum
Likes the movie The Thing
Likes the movie Weeds
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes the movie The Godfather
Likes
