Lives in Door Reach, Wisconsin (specifically mentions Lake Michigan, Wisconsin, and Minnesota),
Cubs fan (Chicago Cubs, hates Mets, hates Joe Buck, supports 2015-2016 era),
Catholic,
Male,
Millennial,
Gamer (Steam user, plays Team Fortress 2, XCOM, Pokémon, Civ, Skyrim, TF2, CS:GO, Rainbow Six Siege),
TF2 Medic and Soldier enthusiast,
Political conservative (anti-Trump, anti-Obama, pro-small business, anti-welfare, anti-ISIS),
Anti-feminist (believes true gender equality is impossible, critiques third-wave feminism),
Anti-woke/anti-diversity (criticizes "bandwagoners," mentions "white males," dislikes "woke" culture),
Has a house on Lake Michigan,
Has a neighbor with two young kids in Venice,
Has a neighbor who is an anti-social asshole,
Has a teacher who makes him angry,
Has a mom who laminated things for teachers,
Has a friend who is a cop,
Has a friend who is a heavy in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
Has a friend who is a pyro in TF2,
Has a friend who is a medic in TF2,
Has a friend who is an engineer in TF2,
Has a friend who is a sniper in TF2,
Has a friend who is a spy in TF2,
Has a friend who is a heavy in TF2,
Has a friend who is a soldier in TF2,
Has a friend who is a demoman in TF2,
Has a friend who is a scout in TF2,
