Lives in California, specifically mentions Arizona and California traffic;
Works in engineering or technical fields (mentions "degree in Iraqi engineering," "field engineer," "solar," "telecom");
Age 29;
Male;
Has a wife and children (references to "wife," "son," "grandmother in hospital," "girlfriend");
Interested in Marvel Cinematic Universe, Transformers, Star Wars, and action movies;
Supports gun ownership and carries a concealed weapon;
Militant atheist who has recently become quiet on the topic;
Interested in MMA and UFC;
Has a degree in engineering;
Frequent user of RemindMe bot;
Critical of Michael Bay and Hollywood box office strategies;
Interested in conspiracy theories and pop culture analysis;
Has a sense of humor involving self-deprecation and sarcasm;
Likes big breasts;
Has a background in law or legal studies (mentions law student, legal issues, parole);
Interested in video games (Halo, Sims);
Has a history of being involved in pyramid schemes or multi-level marketing;
Has a background in the military or law enforcement (mentions military, police, SWAT);
Has a background in the medical or healthcare field (mentions hospital, nurses, medical expenses);
Has a background in the financial or business world (mentions stock market, investments, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (mentions hospital, nurse, doctor);
Has a background in the financial or business world (mentions stock market, investment, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (mentions hospital, nurse, doctor);
Has a background in the financial or business world (mentions stock market, investment, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (mentions hospital, nurse, doctor);
Has a background in the financial or business world (mentions stock market, investment, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (mentions hospital, nurse, doctor);
Has a background in the financial or business world (mentions stock market, investment, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (mentions hospital, nurse, doctor);
Has a background in the financial or business world (mentions stock market, investment, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (mentions hospital, nurse, doctor);
Has a background in the financial or business world (mentions stock market, investment, business);
Has a background in the legal or judicial system (mentions court, judge, lawyer);
Has a background in the educational or academic world (mentions university, degree, professor);
Has a background in the military or defense industry (mentions military, defense, security);
Has a background in the law enforcement or police force (mentions police, SWAT, arrest);
Has a background in the medical or healthcare field (
