- Lives in [LOCATION]
- Works in [WORK_OF_ART]
- Holds strong conservative political views
- Supports Donald Trump
- Believes in the necessity of torture
- Opposes gay marriage
- Believes in the existence of radical terrorism
- Believes in the existence of neocons
- Believes in the existence of illegal immigrants
- Believes in the existence of legal immigrants
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [TIME]
- Believes in the existence of a [DATE]
- Believes in the existence of a [PRODUCT]
- Believes in the existence of a [WORK_OF_ART]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the existence of a [LOCATION]
- Believes in the existence of a [CARDINAL]
- Believes in the existence of a [PERCENT]
- Believes in the existence of a [NORP]
- Believes in the existence of a [PERSON]
- Believes in the existence of a [ORGANIZATION]
- Believes in the
