Lives in Greensboro, NC (specifically Reidsville/GSO area),
University of Georgia (UGA) football fan,
Supports Duke basketball,
Panthers (Carolina Panthers) football fan,
NASCAR fan (Eli Gold),
GTA Online player (360/PS4),
Fallout 4 player (PS4),
Tech school graduate (150 years ago),
Single,
White male,
Critical of ESPN and Grantland,
Supports Cam Newton,
Supports Matt Ryan,
Supports LeBron James,
Supports Kevin Durant,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
Supports Bradley Beal,
