Lives in Detroit, Michigan
Self-employed individual who previously worked in corporate/management roles
Owns high-end PC gaming rig with custom liquid cooling loop (Nvidia Quadro GPU, EK water blocks, 1080ti/3070 era hardware)
Heavy PUBG player (Miramar mode, M24/MK14/M4 loadouts, macro usage)
Smokes marijuana regularly (strawberry cough, sensita star)
Has chronic pain and emotional instability
Self-identifies as a "yank" (American)
Has a girlfriend
Has a Mercedes G-Wagon
Has a Bugatti
Has a Pentium 2 computer
Has a Z97/DDR3 motherboard
Has a 12v AC adapter
Has a 6gb graphics card
Has a 32gb RAM upgrade
Has a 1080ti graphics card
Has a MSI Sea Hawk motherboard
Has a 20 (6 core 3.3ghz) CPU
Has a 16gb RAM upgrade
Has a 3070 graphics card
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has a 32gb RAM upgrade
Has a 16gb RAM upgrade
Has a 6gb graphics card
Has a 12v AC adapter
Has a 1080ti graphics card
Has
