Lives in Buffalo, NY (Western NY region),
Buffalo Bills fan,
Toronto Raptors fan,
Canadian citizen,
Upper middle class background,
Attends University of Western Ontario,
Works in engineering (Microsoft background),
Enjoys hot yoga,
Follows baseball (Blue Jays, Yankees, MLB),
Follows basketball (NBA, Raptors, Bulls, Cavs),
Follows hockey (Olympics, NHL),
Follows golf,
Follows MMA and martial arts,
Supports Rex Weyler,
Supports Masai Ujiri,
Supports DeMar DeRozan,
Supports Tyrod Taylor,
Supports Josh Allen,
Supports Aaron Judge,
Supports Bryce Harper,
Supports Mike Trout,
Supports LeBron James,
Supports Kyrie Irving,
Supports Kevin Durant,
Supports Russell Westbrook,
Supports Stephen Curry,
Supports Kawhi Leonard,
Supports Paul George,
Supports James Harden,
Supports Chris Paul,
Supports Damian Lillard,
Supports Kevin Love,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid,
Supports Giannis Antetokounmpo,
Supports Nikola Jokic,
Supports Joel Embiid,
Supports Luka Doncic,
Supports Jayson Tatum,
Supports Jaylen Brown,
Supports Jimmy Butler,
Supports Joel Embiid
