Lives in Dartmouth, Nova Scotia, Canada
Works in finance or business (references to expense reports, company cards, and financial trades)
Identifies as Jewish (references to Rosh Hashanah, Hebrew language, and "coy little jews")
Frequent basketball enthusiast (discusses NBA players, trades, and NBA 2K)
Frequent soccer enthusiast (discusses Premier League, Arsenal, and FIFA)
Frequent video game enthusiast (discusses Fallout, Oblivion, Skyrim, and various RPGs)
Has a pet dog (references to police chasing a dog)
Has a significant other (references to "my dude," "my girl," and "our two favourite")
Has a child or is a parent (references to "my kid" and "my dude")
Has a history of being downvoted for controversial or offensive comments
Has a history of being accused of being a "dick" or "asshole" by other users
Has a history of being accused of having self-esteem issues
Has a history of being accused of having Nazi sympathies
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a history of being accused of having a "Nazi background"
Has a
